case_id,case_type,difficulty,review_status,requires_human_review,expected_diagnoses,patient_case,original_query,notes
q026,diagnosis,easy,auto_generated,True,,какие измерения нужны для диагностики ожирения и оценки степени избытка массы тела,какие измерения нужны для диагностики ожирения и оценки степени избытка массы тела,case created from retrieval query q026
q027,diagnosis,medium,auto_generated,True,,почему гипотиреоз трудно распознать по жалобам и какие проблемы есть в клинической диагностике,почему гипотиреоз трудно распознать по жалобам и какие проблемы есть в клинической диагностике,case created from retrieval query q027
q028,diagnosis,hard,auto_generated,True,,нейроэндокринная опухоль может маскироваться под другие болезни из-за разных гормональных синдромов,нейроэндокринная опухоль может маскироваться под другие болезни из-за разных гормональных синдромов,case created from retrieval query q028
q029,diagnosis,hard,auto_generated,True,,тиреоидит с временным тиреотоксикозом после деструкции ткани щитовидной железы,тиреоидит с временным тиреотоксикозом после деструкции ткани щитовидной железы,case created from retrieval query q029
q030,diagnosis,medium,auto_generated,True,,"камни в почках, остеопороз и высокий кальций крови — найти проявления первичного гиперпаратиреоза","камни в почках, остеопороз и высокий кальций крови — найти проявления первичного гиперпаратиреоза",case created from retrieval query q030
q031,diagnosis,medium,auto_generated,True,,рвота с кровью после многократной рвоты или сильного кашля — какой синдром искать в протоколах,рвота с кровью после многократной рвоты или сильного кашля — какой синдром искать в протоколах,case created from retrieval query q031
q032,diagnosis,medium,auto_generated,True,,"длительная диарея больше шести недель без крови, боль в животе, лихорадка и анемия — признаки болезни Крона","длительная диарея больше шести недель без крови, боль в животе, лихорадка и анемия — признаки болезни Крона",case created from retrieval query q032
q033,diagnosis,easy,auto_generated,True,,"алая кровь после дефекации, выпадение узлов и зуд в области ануса — симптомы хронического геморроя","алая кровь после дефекации, выпадение узлов и зуд в области ануса — симптомы хронического геморроя",case created from retrieval query q033
q034,diagnosis,medium,auto_generated,True,,"периодическая боль слева внизу живота, запоры и вздутие у пациента с дивертикулярной болезнью","периодическая боль слева внизу живота, запоры и вздутие у пациента с дивертикулярной болезнью",case created from retrieval query q034
q035,diagnosis,medium,auto_generated,True,,ночная диарея с кровью в стуле и тенезмами — описывает язвенный колит,ночная диарея с кровью в стуле и тенезмами — какой протокол описывает язвенный колит,case created from retrieval query q035
q036,treatment,medium,auto_generated,True,,"какой препарат первой линии можно назначить при запоре, если диета и псиллиум не помогли","какой препарат первой линии можно назначить при запоре, если диета и псиллиум не помогли",case created from retrieval query q036
q037,diagnosis,medium,auto_generated,True,,боль в эпигастрии после еды или натощак с иррадиацией в спину — найти клиническую картину язвенной болезни,боль в эпигастрии после еды или натощак с иррадиацией в спину — найти клиническую картину язвенной болезни,case created from retrieval query q037
q038,diagnosis,medium,auto_generated,True,,"опоясывающая боль, неукротимая рвота и повышение амилазы или липазы — критерии диагностики острого панкреатита","опоясывающая боль, неукротимая рвота и повышение амилазы или липазы — критерии диагностики острого панкреатита",case created from retrieval query q038
q039,diagnosis,medium,auto_generated,True,,"двусторонняя сжимающая головная боль как обруч, не усиливается от обычной нагрузки","двусторонняя сжимающая головная боль как обруч, не усиливается от обычной нагрузки",case created from retrieval query q039
q040,diagnosis,easy,auto_generated,True,,"хроническая мышечная слабость с обострениями и ремиссиями, подозрение на миастению","хроническая мышечная слабость с обострениями и ремиссиями, подозрение на миастению",case created from retrieval query q040
q041,diagnosis,medium,auto_generated,True,,"онемение ульнарной зоны кисти, слабость мышц и боль в локте — признаки невропатии локтевого нерва","онемение ульнарной зоны кисти, слабость мышц и боль в локте — признаки невропатии локтевого нерва",case created from retrieval query q041
q042,diagnosis,medium,auto_generated,True,,"односторонняя пульсирующая головная боль в виске с тошнотой, фотофобией и повторяющимися приступами","односторонняя пульсирующая головная боль в виске с тошнотой, фотофобией и повторяющимися приступами",case created from retrieval query q042
q043,diagnosis,medium,auto_generated,True,,какие данные КТ или МРТ подтверждают диагноз геморрагического инсульта при остром очаговом дефиците,какие данные КТ или МРТ подтверждают диагноз геморрагического инсульта при остром очаговом дефиците,case created from retrieval query q043
q044,diagnosis,easy,auto_generated,True,,первые проявления болезни Паркинсона у пациента после 50 лет и особенности раннего начала,первые проявления болезни Паркинсона у пациента после 50 лет и особенности раннего начала,case created from retrieval query q044
q045,diagnosis,hard,auto_generated,True,,"простреливающая боль в пояснице и ноге после подъема тяжести, усиливается при кашле и наклоне","простреливающая боль в пояснице и ноге после подъема тяжести, усиливается при кашле и наклоне",case created from retrieval query q045
q046,diagnosis,medium,auto_generated,True,,"бледность, слабость, шум в ушах, ломкие ногти и извращение вкуса — про железодефицитную анемию","бледность, слабость, шум в ушах, ломкие ногти и извращение вкуса — какой протокол про железодефицитную анемию",case created from retrieval query q046
q047,diagnosis,medium,auto_generated,True,,"слабость, одышка, глоссит, диспепсия и легкая желтушность при подозрении на фолиеводефицитную анемию","слабость, одышка, глоссит, диспепсия и легкая желтушность при подозрении на фолиеводефицитную анемию",case created from retrieval query q047
q048,diagnosis,medium,auto_generated,True,,"острый кашель с мокротой, одышка, боль в груди при дыхании и лихорадка — найти клинику внебольничной пневмонии","острый кашель с мокротой, одышка, боль в груди при дыхании и лихорадка — найти клинику внебольничной пневмонии",case created from retrieval query q048
q049,diagnosis,easy,auto_generated,True,,"боль в пояснице, температура, озноб, тошнота и дизурия — симптомы острого пиелонефрита","боль в пояснице, температура, озноб, тошнота и дизурия — симптомы острого пиелонефрита",case created from retrieval query q049
q050,diagnosis,medium,auto_generated,True,,"острый приступ сильной боли, покраснение и припухлость сустава, затем период без жалоб — признаки подагры","острый приступ сильной боли, покраснение и припухлость сустава, затем период без жалоб — признаки подагры",case created from retrieval query q050
h001,diagnosis,hard,auto_generated,True,,"после домашних консервов у пациента двоится в глазах, опустились веки, сухость во рту и стало трудно глотать — какой диагностический раздел нужен","после домашних консервов у пациента двоится в глазах, опустились веки, сухость во рту и стало трудно глотать — какой диагностический раздел нужен",case created from retrieval query h001
h002,diagnosis,hard,auto_generated,True,,"после укуса клеща появились кольцевидные пятна, боли по ходу нервных корешков в шее и пояснице, затем перекосило лицо","после укуса клеща появились кольцевидные пятна, боли по ходу нервных корешков в шее и пояснице, затем перекосило лицо",case created from retrieval query h002
h003,diagnosis,hard,auto_generated,True,,"жжение и резь при мочеиспускании, частые позывы, мутная моча с хлопьями и следы выделений на белье","жжение и резь при мочеиспускании, частые позывы, мутная моча с хлопьями и следы выделений на белье",case created from retrieval query h003
h004,diagnosis,hard,auto_generated,True,,"через несколько минут после еды чешутся губы и рот, немного отекает слизистая, появляется насморк и зуд в ушах","через несколько минут после еды чешутся губы и рот, немного отекает слизистая, появляется насморк и зуд в ушах",case created from retrieval query h004
h005,diagnosis,hard,auto_generated,True,,"после приема нового препарата поднялась температура, появилась пятнисто-папулезная сыпь, отекло лицо, выросли эозинофилы и печеночные ферменты","после приема нового препарата поднялась температура, появилась пятнисто-папулезная сыпь, отекло лицо, выросли эозинофилы и печеночные ферменты",case created from retrieval query h005
h006,treatment,hard,auto_generated,True,,у пациента давно жидкий обильный зловонный стул с жирным блеском и потеря веса после проблем с поджелудочной — нужна ли ферментная заместительная терапия,у пациента давно жидкий обильный зловонный стул с жирным блеском и потеря веса после проблем с поджелудочной — нужна ли ферментная заместительная терапия,case created from retrieval query h006
h007,treatment,hard,auto_generated,True,,"температура, ломота и резкая слабость начались вчера вечером — надо ли ждать анализов перед противовирусным лечением и когда его начинать","температура, ломота и резкая слабость начались вчера вечером — надо ли ждать анализов перед противовирусным лечением и когда его начинать",case created from retrieval query h007
h008,treatment,hard,auto_generated,True,,"резко прихватило поясницу, боль мешает двигаться — какие обезболивающие обычно рекомендуют коротким курсом при таком обострении","резко прихватило поясницу, боль мешает двигаться — какие обезболивающие обычно рекомендуют коротким курсом при таком обострении",case created from retrieval query h008
h009,diagnosis,hard,auto_generated,True,,"у человека болит сустав с эндопротезом, повышены СОЭ и СРБ — нужно ли брать жидкость из сустава и что в ней смотреть","у человека болит сустав с эндопротезом, повышены СОЭ и СРБ — нужно ли брать жидкость из сустава и что в ней смотреть",case created from retrieval query h009
h010,diagnosis,hard,auto_generated,True,,"молодой взрослый перенес первый неврологический эпизод, нужно понять по каким современным критериям подтверждают рассеянное поражение ЦНС","молодой взрослый перенес первый неврологический эпизод, нужно понять по каким современным критериям подтверждают рассеянное поражение ЦНС",case created from retrieval query h010
h011,diagnosis,hard,auto_generated,True,,"когда человек пишет ручкой, кисть напрягается, почерк замедляется, буквы становятся крупнее и рука дрожит","когда человек пишет ручкой, кисть напрягается, почерк замедляется, буквы становятся крупнее и рука дрожит",case created from retrieval query h011
h012,diagnosis,hard,auto_generated,True,,"пожилой пациент с когнитивным снижением внезапно стал более скованным, появились галлюцинации, спутанность, хуже глотает и нестабильный пульс","пожилой пациент с когнитивным снижением внезапно стал более скованным, появились галлюцинации, спутанность, хуже глотает и нестабильный пульс",case created from retrieval query h012
h013,treatment,hard,auto_generated,True,,"после травмы ноги подтвержден тромб в глубоких венах, пациенту может понадобиться операция на опорно-двигательном аппарате — с какой антикоагуляции начинать","после травмы ноги подтвержден тромб в глубоких венах, пациенту может понадобиться операция на опорно-двигательном аппарате — с какой антикоагуляции начинать",case created from retrieval query h013
h014,treatment,hard,auto_generated,True,,у пациента старше 50 лет крупные камни в желчном больше 3 см и кальцинированная стенка пузыря — нужна ли плановая профилактическая операция,у пациента старше 50 лет крупные камни в желчном больше 3 см и кальцинированная стенка пузыря — нужна ли плановая профилактическая операция,case created from retrieval query h014
h015,diagnosis,hard,auto_generated,True,,"при стойком снижении функции почек какие осложнения надо целенаправленно искать: давление, сердце, витамин D, фосфаты и паратгормон","при стойком снижении функции почек какие осложнения надо целенаправленно искать: давление, сердце, витамин D, фосфаты и паратгормон",case created from retrieval query h015
manual_001_angina_risk,diagnosis_and_next_steps,medium,manual,False,стабильная стенокардия напряжения|ишемическая болезнь сердца,"Мужчина 58 лет. Жалуется на давящую боль за грудиной при быстрой ходьбе и подъеме на 3-й этаж, которая проходит в покое за 3-5 минут. Эпизоды длятся последние 6 месяцев, постепенно усиливаются. В анамнезе артериальная гипертензия (принимает периодически), курит 30 лет (1 пачка в день), отец перенёс инфаркт в 60 лет. Какие предварительные диагностические гипотезы и обследования стоит рассмотреть?",,manual hard case — типичная стабильная стенокардия + ФР ССЗ
manual_002_acs_no_label,diagnosis_and_next_steps,hard,manual,False,острый коронарный синдром|инфаркт миокарда,"Мужчина 64 лет, доставлен скорой. Около 40 минут назад появилось интенсивное давление за грудиной с иррадиацией в нижнюю челюсть и левую руку, выраженная потливость, тошнота, ощущение страха смерти. Боль не уменьшилась после приёма нитроглицерина. АД 100/60, ЧСС 95, кожа холодная и влажная. В анамнезе сахарный диабет 2 типа, гипертензия. Что это может быть и какие первоочередные действия?",,manual hard case — клиническая картина ОКС/ИМ без явного названия
manual_003_hf_decomp,diagnosis_and_next_steps,hard,manual,False,острая декомпенсация хронической сердечной недостаточности|хроническая сердечная недостаточность,"Женщина 72 лет. Жалуется на нарастающую за неделю одышку, теперь не может спать лёжа (спит на 3 подушках), просыпается ночью от удушья. Появились отёки голеней до колен, прибавила в весе 4 кг за неделю. В анамнезе перенесённый Q-инфаркт миокарда 5 лет назад, постоянная фибрилляция предсердий. При осмотре влажные хрипы в нижних отделах лёгких с обеих сторон, ЧСС 110 (нерегулярный), АД 95/60. Какие гипотезы и шаги?",,manual hard case — острая декомпенсация ХСН на фоне постинфарктного кардиосклероза + ФП
manual_004_pe_after_flight,diagnosis_and_next_steps,hard,manual,False,тромбоэмболия легочной артерии|тромбоз глубоких вен,"Женщина 45 лет. После 11-часового перелёта появилась внезапная одышка, плевральная боль в правой половине грудной клетки при вдохе, эпизод кровохарканья. На голени правой ноги — болезненность икроножной мышцы, лёгкая отёчность. ЧДД 24, SpO2 91% на воздухе. Какие диагностические гипотезы и обследования рассмотреть в первую очередь?",,"manual hard case — классическая триада ТЭЛА + ТГВ; document_ids оставлены пустыми, retrieval должен сам найти релевантную КР"
manual_005_new_af_stroke_history,diagnosis_and_next_steps,hard,manual,False,фибрилляция предсердий|пароксизм фибрилляции предсердий,"Мужчина 68 лет. Внезапное сердцебиение около 5 часов назад, чувство «перебоев в сердце», лёгкое головокружение. ЧСС нерегулярный, около 130 в минуту, дефицит пульса. АД 145/90. В анамнезе ишемический инсульт 2 года назад, контролируемая артериальная гипертензия. На ЭКГ — нет волн P, нерегулярные интервалы R-R. Какие диагностические гипотезы и направления тактики рассмотреть?",,manual hard case — впервые выявленный пароксизм ФП у пациента с инсультом в анамнезе (высокий CHA2DS2-VASc)
manual_006_ph_echocardiography,diagnosis_and_next_steps,hard,manual,False,легочная гипертензия|легочная артериальная гипертензия,"Женщина 46 лет. В течение 8 месяцев — прогрессирующая одышка при нагрузке, дважды эпизод предобморочного состояния при физической нагрузке, утомляемость. На ЭхоКГ: расширение правого желудочка, повышенное расчётное систолическое давление в лёгочной артерии 65 мм рт. ст., трикуспидальная регургитация 3 степени. Какие диагностические гипотезы и дальнейшие шаги обследования?",,manual hard case — подозрение на ЛАГ по ЭхоКГ-признакам
manual_007_hcm_young_syncope,diagnosis_and_next_steps,hard,manual,False,гипертрофическая кардиомиопатия,"Мужчина 22 лет, спортсмен (любительский футбол). Эпизод синкопе во время тренировки. Ранее — эпизоды учащенного сердцебиения, иногда боль за грудиной при нагрузке. Наследственность: дядя по материнской линии умер внезапно в 32 года при невыясненных обстоятельствах. На ЭКГ — гипертрофия левого желудочка, отрицательные T в V4-V6. Какие гипотезы и обследования стоит рассмотреть?",,manual hard case — синкопе при нагрузке у молодого спортсмена с подозрением на ГКМП; есть угроза внезапной сердечной смерти
manual_008_elderly_vague,diagnosis_and_next_steps,hard,manual,False,хроническая сердечная недостаточность|ишемическая болезнь сердца|ортостатическая гипотензия,"Бабушка, 78 лет. Жалуется, что в последние пару недель «перепады давления» (то 170 на 90, то 110 на 60), периодически кружится голова, иногда ночью просыпается, не может отдышаться, сидит на краю кровати. Похудела за месяц на 3 кг без диеты, аппетит снижен. В анамнезе перенесённый инфаркт около 8 лет назад, принимает «таблетки от давления, но забывает». Что это может быть и какие первоочередные шаги?",,"manual hard case — пожилая пациентка, бытовое описание, мульти-документная задача"
